dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2008;PL127;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL127;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL127;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL127;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL127;HC;HC;0,0000000;0,0000000000;0,0000000000
2008;PL127;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2008;PL127;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL127;TA;TA;0,0000000;0,0000000000;0,0000000000
2008;PL225;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL225;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL225;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL225;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL225;HC;HC;0,0000000;0,0000000000;0,0000000000
2008;PL225;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2008;PL225;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL225;TA;TA;0,0000000;71805,3541821000;71805,3541821000
2008;PL226;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL226;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL226;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL226;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL226;HC;HC;0,0000000;0,0000000000;0,0000000000
2008;PL226;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2008;PL226;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL226;TA;TA;0,0000000;0,0000000000;0,0000000000
2008;PL227;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL227;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL227;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL227;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL227;HC;HC;0,0000000;0,0000000000;0,0000000000
2008;PL227;INFR;INFR;0,0000000;86591,9520866667;86591,9520866667
2008;PL227;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL227;TA;TA;0,0000000;0,0000000000;0,0000000000
2008;PL511;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL511;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL511;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL511;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL511;HC;HC;0,0000000;0,0000000000;0,0000000000
2008;PL511;INFR;INFR;0,0000000;477318,3658313999;477318,3658313999
2008;PL511;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL511;TA;TA;0,0000000;1356488,4291530107;1356488,4291530107
2008;PL514;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL514;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL514;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL514;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL514;HC;HC;0,0000000;0,0000000000;0,0000000000
2008;PL514;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2008;PL514;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL514;TA;TA;0,0000000;0,0000000000;0,0000000000
2008;PL520;AIS;AIS2;0,0000000;0,0000000000;0,0000000000
2008;PL520;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;PL520;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;PL520;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;PL520;HC;HC;0,0000000;11941,1965989000;11941,1965989000
2008;PL520;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2008;PL520;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;PL520;TA;TA;0,0000000;142012,0797999558;142012,0797999558
2009;CZ010;AIS;AIS1;384750,0000000;128250,0000000000;513000,0000000000
2009;CZ010;AIS;AIS2;7728192,4560000;1363798,9040000001;9091991,3599999994
2009;CZ010;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2009;CZ010;AIS;AIS4;1445832150,0000000;255146850,0000000000;1700979000,0000000000
2009;CZ010;AIS;AIS5;28468767,2600000;4812022,1749999998;33280789,4350000024
2009;CZ010;HC;HC;1082483025,5548279;191831332,6841853261;1274314358,2390134335
2009;CZ010;INFR;INFR;3896713734,9460001;1892426318,8489999771;5789140053,7950000763
2009;CZ010;RTD;RTD;43309496,0720000;9601269,0446666665;52910765,1166666672
2009;CZ010;TA;TA;1160226448,5144100;218556544,0894599855;1378782992,6038699150
2009;CZ020;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ020;AIS;AIS2;39745280,5500000;5044685,0000000000;44789965,5499999970
2009;CZ020;AIS;AIS3;344499304,6800000;60462944,0100000054;404962248,6899999976
